Wavenumbers [1/cm];Absorbance;
3868,000;0,2004459;
3866,000;0,2003596;
3864,000;0,2002273;
3862,000;0,1992818;
3860,000;0,1983097;
3858,000;0,1982076;
3856,000;0,19923;
3854,000;0,2016189;
3852,000;0,1997099;
3850,000;0,1975836;
3848,000;0,1963537;
3846,000;0,1960471;
3844,000;0,1964749;
3842,000;0,1968516;
3840,000;0,1973506;
3838,000;0,1974524;
3836,000;0,1962755;
3834,000;0,19565;
3832,000;0,1951985;
3830,000;0,1944685;
3828,000;0,1942381;
3826,000;0,1940992;
3824,000;0,1939192;
3822,000;0,1954386;
3820,000;0,19461;
3818,000;0,1938726;
3816,000;0,1941657;
3814,000;0,1925213;
3812,000;0,1917256;
3810,000;0,1914588;
3808,000;0,1922388;
3806,000;0,1917552;
3804,000;0,1914459;
3802,000;0,1926254;
3800,000;0,1912756;
3798,000;0,1906331;
3796,000;0,1903576;
3794,000;0,189061;
3792,000;0,1885573;
3790,000;0,1880831;
3788,000;0,1879629;
3786,000;0,1879144;
3784,000;0,1878505;
3782,000;0,187431;
3780,000;0,1877217;
3778,000;0,1870186;
3776,000;0,1865103;
3774,000;0,1861515;
3772,000;0,186339;
3770,000;0,1867816;
3768,000;0,1863161;
3766,000;0,1862364;
3764,000;0,1854548;
3762,000;0,1851383;
3760,000;0,1856411;
3758,000;0,1854715;
3756,000;0,1848061;
3754,000;0,1853628;
3752,000;0,1865011;
3750,000;0,186952;
3748,000;0,1853908;
3746,000;0,1863345;
3744,000;0,1865299;
3742,000;0,1841404;
3740,000;0,183501;
3738,000;0,1837854;
3736,000;0,185406;
3734,000;0,1849259;
3732,000;0,1840333;
3730,000;0,1822951;
3728,000;0,1822315;
3726,000;0,1825092;
3724,000;0,1820203;
3722,000;0,1817445;
3720,000;0,1809363;
3718,000;0,1802279;
3716,000;0,1796889;
3714,000;0,1803036;
3712,000;0,1812831;
3710,000;0,1809304;
3708,000;0,1798257;
3706,000;0,1789163;
3704,000;0,1787893;
3702,000;0,1790869;
3700,000;0,1784426;
3698,000;0,1778381;
3696,000;0,1775208;
3694,000;0,1774317;
3692,000;0,1782054;
3690,000;0,1785694;
3688,000;0,1780571;
3686,000;0,1765643;
3684,000;0,1761411;
3682,000;0,1757346;
3680,000;0,1762551;
3678,000;0,1766593;
3676,000;0,1785547;
3674,000;0,1771543;
3672,000;0,1766825;
3670,000;0,177237;
3668,000;0,175609;
3666,000;0,1743661;
3664,000;0,173847;
3662,000;0,1734298;
3660,000;0,1730727;
3658,000;0,1736166;
3656,000;0,1741656;
3654,000;0,1736054;
3652,000;0,1746137;
3650,000;0,1761178;
3648,000;0,1762536;
3646,000;0,1745914;
3644,000;0,1731788;
3642,000;0,1725789;
3640,000;0,1720382;
3638,000;0,1716269;
3636,000;0,1712207;
3634,000;0,171393;
3632,000;0,1712;
3630,000;0,1731069;
3628,000;0,1726727;
3626,000;0,1707379;
3624,000;0,1698896;
3622,000;0,1699172;
3620,000;0,1709093;
3618,000;0,1708736;
3616,000;0,1702536;
3614,000;0,1705844;
3612,000;0,1705441;
3610,000;0,1707805;
3608,000;0,1710709;
3606,000;0,1702738;
3604,000;0,1697186;
3602,000;0,1695863;
3600,000;0,1690366;
3598,000;0,1683635;
3596,000;0,1680554;
3594,000;0,1674218;
3592,000;0,1664056;
3590,000;0,1664221;
3588,000;0,1671568;
3586,000;0,1660123;
3584,000;0,1646984;
3582,000;0,1640729;
3580,000;0,1638627;
3578,000;0,1635586;
3576,000;0,1633188;
3574,000;0,162966;
3572,000;0,1627499;
3570,000;0,1629989;
3568,000;0,1643291;
3566,000;0,1641102;
